Carpeta;Fichero;CuentaNIF;Ultimo acceso;
c:\Users\Default\;NTUSER.DAT.LOG1;0;29/09/2017 8:45:12;
c:\Users\Default\;NTUSER.DAT.LOG2;0;29/09/2017 8:45:12;
c:\Users\Default\;NTUSER.DAT{044e8746-7f75-11e8-942c-9167bbb7223e}.TM.blf;0;04/07/2018 9:29:44;
c:\Users\Default\;Microsoft Office Excel 2007.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\;NTUSER.DAT{044e8746-7f75-11e8-942c-9167bbb7223e}.TMContainer00000000000000000001.regtrans-ms;0;04/07/2018 9:29:44;
c:\Users\Default\;NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TM.blf;0;15/11/2017 12:57:35;
c:\Users\Default\;NTUSER.DAT{044e8746-7f75-11e8-942c-9167bbb7223e}.TMContainer00000000000000000002.regtrans-ms;0;04/07/2018 9:29:44;
c:\Users\Default\;NTUSER.DAT{f2d135b3-7dd8-11e8-a834-00e04c680113}.TM.blf;0;04/07/2018 8:29:23;
c:\Users\Default\Videos\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\;NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms;0;15/11/2017 12:57:35;
c:\Users\Default\Searches\;Everywhere.search-ms;0;09/12/2015 8:13:32;
c:\Users\Default\Searches\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Searches\;Indexed Locations.search-ms;0;09/12/2015 8:13:32;
c:\Users\Default\Searches\;winrt--{S-1-5-21-1606299116-1901245322-2685334968-500}-.searchconnector-ms;0;09/12/2015 8:13:32;
c:\Users\Default\;NTUSER.DAT{f2d135b3-7dd8-11e8-a834-00e04c680113}.TMContainer00000000000000000001.regtrans-ms;0;04/07/2018 8:29:23;
c:\Users\Default\Saved Games\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\;NTUSER.DAT;0;10/08/2018 5:27:28;
c:\Users\Default\Pictures\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\OneDrive\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Links\;Desktop.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\Links\;Downloads.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\Favorites\;Bing.url;0;09/12/2015 8:13:32;
c:\Users\Default\Favorites\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Favorites\Links\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Downloads\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\;NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms;0;15/11/2017 12:57:35;
c:\Users\Default\;NTUSER.DAT{f2d135b3-7dd8-11e8-a834-00e04c680113}.TMContainer00000000000000000002.regtrans-ms;0;04/07/2018 8:29:23;
c:\Users\Default\Music\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\pdfforge\Images2PDF\;Images2PDF.settings;0;09/12/2015 8:13:32;
c:\Users\Default\Documents\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Contacts\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Desktop\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Themes\;slideshow.ini;0;09/12/2015 8:13:32;
c:\Users\Default\Links\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\;OneDrive.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\;Windows PowerShell (x86).lnk;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\;Windows PowerShell ISE.lnk;0;29/09/2017 13:43:12;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\;Windows PowerShell.lnk;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\;computer.lnk;0;29/09/2017 13:42:08;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\;Control Panel.lnk;0;29/09/2017 13:42:08;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\;Command Prompt.lnk;0;29/09/2017 13:41:33;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\;desktop.ini;0;29/09/2017 13:44:29;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\;Windows PowerShell ISE (x86).lnk;0;29/09/2017 13:43:12;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\;Desktop.ini;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\;Desktop.ini;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\;Run.lnk;0;29/09/2017 13:42:08;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Maintenance\;Desktop.ini;0;29/09/2017 13:44:24;
